,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
11315,,texas-san-antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11316,b'2016-11-11',texas-san-antonio,b'@',b'Fresno State',1,b'L',b'66',b'69',b'25',b'70',b'.357',b'5',b'25',b'.200',b'11',b'23',b'.478',b'23',b'52',b'11',b'4',b'0',b'20',b'24',b'20',b'49',b'.408',b'6',b'18',b'.333',b'23',b'33',b'.697',b'3',b'29',b'11',b'14',b'2',b'11',b'22',False
11317,b'2016-11-13',texas-san-antonio,b'@',b'Oregon State',1,b'L',b'64',b'72',b'20',b'60',b'.333',b'6',b'19',b'.316',b'18',b'27',b'.667',b'12',b'34',b'8',b'8',b'2',b'12',b'30',b'22',b'52',b'.423',b'5',b'12',b'.417',b'23',b'37',b'.622',b'8',b'37',b'12',b'6',b'7',b'15',b'25',False
11318,b'2016-11-16',texas-san-antonio,b'@',b'UIC',1,b'L',b'78',b'86',b'24',b'62',b'.387',b'6',b'16',b'.375',b'24',b'36',b'.667',b'14',b'31',b'11',b'7',b'3',b'22',b'36',b'24',b'53',b'.453',b'4',b'14',b'.286',b'34',b'47',b'.723',b'11',b'37',b'9',b'13',b'8',b'19',b'27',False
11319,b'2016-11-19',texas-san-antonio,b'',b'Prairie View',1,b'W',b'69',b'59',b'26',b'63',b'.413',b'2',b'16',b'.125',b'15',b'25',b'.600',b'11',b'42',b'6',b'7',b'4',b'12',b'19',b'17',b'54',b'.315',b'5',b'19',b'.263',b'20',b'25',b'.800',b'3',b'27',b'8',b'6',b'5',b'15',b'20',False
11320,b'2016-11-22',texas-san-antonio,b'@',b'Lamar',1,b'L',b'58',b'78',b'22',b'58',b'.379',b'2',b'17',b'.118',b'12',b'15',b'.800',b'6',b'35',b'12',b'1',b'2',b'11',b'19',b'27',b'62',b'.435',b'11',b'29',b'.379',b'13',b'21',b'.619',b'10',b'38',b'17',b'8',b'5',b'6',b'17',False
11321,b'2016-11-25',texas-san-antonio,b'',b'Texas State',1,b'W',b'63',b'48',b'19',b'51',b'.373',b'6',b'13',b'.462',b'19',b'21',b'.905',b'13',b'48',b'7',b'6',b'3',b'15',b'20',b'18',b'60',b'.300',b'4',b'27',b'.148',b'8',b'19',b'.421',b'12',b'32',b'8',b'4',b'2',b'9',b'21',False
11322,b'2016-12-01',texas-san-antonio,b'@',b'Cal Poly',1,b'L',b'47',b'59',b'14',b'51',b'.275',b'1',b'14',b'.071',b'18',b'28',b'.643',b'14',b'42',b'3',b'6',b'1',b'17',b'18',b'20',b'56',b'.357',b'9',b'27',b'.333',b'10',b'11',b'.909',b'7',b'30',b'11',b'9',b'8',b'13',b'22',False
11323,b'2016-12-03',texas-san-antonio,b'@',b'Utah Valley',1,b'L',b'71',b'75',b'27',b'73',b'.370',b'10',b'29',b'.345',b'7',b'12',b'.583',b'14',b'39',b'18',b'7',b'4',b'12',b'18',b'27',b'56',b'.482',b'9',b'24',b'.375',b'12',b'17',b'.706',b'6',b'36',b'19',b'8',b'5',b'17',b'14',False
11324,b'2016-12-07',texas-san-antonio,b'@',b'Texas Tech',1,b'L',b'50',b'87',b'19',b'54',b'.352',b'5',b'21',b'.238',b'7',b'10',b'.700',b'6',b'25',b'8',b'2',b'2',b'14',b'18',b'32',b'61',b'.525',b'9',b'22',b'.409',b'14',b'14',b'1.000',b'6',b'32',b'20',b'7',b'2',b'7',b'16',False
